Entity Name,Entity ID,Fiscal Year,1 year_Dollar-Weighted Rate of Return,3 year_Dollar-Weighted Rate of Return,5 year_Dollar-Weighted Rate of Return,1 year_Time-Weighted Rate of Return,3 year_Time-Weighted Rate of Return,5 year_Time-Weighted Rate of Return,"Annual Money-Weight Rate of Return, Net of Investment Expense %"
Public Employees' Retirement Fund (PERF) C,12894,2023,,,,5.8,6.4,6.1,6.1
Sacramento County Employees' Retirement System,7268,2023,,,,6.3,9.6,7.8,6
Sacramento Regional Transit District ATU Employees' Retirement Plan,12847,2023,7.69,8.41,6.64,,,,7.78
Sacramento Regional Transit District IBEW Employees' Retirement Plan,12848,2023,7.69,8.41,6.64,,,,7.78
Sacramento Regional Transit District Salaried Employees' Retirement Plan,7165,2023,7.69,8.41,6.64,,,,7.78
San Bernardino County Employees' Retirement Association,7269,2023,,,,5,11.9,7.3,5
San Diego City Employees' Retirement System,7246,2023,,,,5.2,8.9,6.8,5
San Diego County Employees' Retirement Association,7270,2023,9.52,7.56,5.79,9.6,7.47,5.76,9.52
San Diego Transit Corporation Employees' Retirement Plan,7200,2023,3.98,4.63,5.75,,,,3.98
San Francisco City and County Employees' Retirement System,7247,2023,5.26,,,,,,5.26
San Joaquin County Employees' Retirement Association,7271,2023,-7.24,4.6,4.8,-10.2,3.6,4.1,-7.24
San Joaquin Regional Transit District Contract Employees' Retirement Plan,7166,2023,8.91,,,,,,8.91
San Luis Obispo County Pension Trust,7272,2023,-7.55,5.48,5.59,-8,5.2,5.6,-7.55
San Mateo County Employees' Retirement Association,7273,2023,,,,5.1,7.7,5.7,5.12
Santa Barbara County Employees' Retirement System,7274,2023,,,,9.01,11.02,8.05,7.11
Santa Clara Valley Transportation Authority Amalgamated Transit Union Pension Plan,7167,2023,7.6,8.3,5.3,,,,6.01
Self-Insured Schools of California Defined Benefit Plan,7183,2023,-18.26,5.06,6.36,-18.94,4.65,6.1,-18.26
Sonoma County Employees' Retirement Association,7275,2023,,,,-6.87,6.26,6.25,-3.99
Stanislaus County Employees' Retirement Association,7276,2023,,,,6.7,7.7,5.9,6.7
Sunline Transit Retirement Income Plan - Bargaining Unit Personnel,7182,2023,-16.45,2.93,4.34,,,,-16.45
Sunline Transit Retirement Income Plan - Non-Bargaining Unit Personnel,7400,2023,-16.42,2.94,4.42,,,,-16.42
Tulare County Employees' Retirement Association,7277,2023,,,,6.5,7.8,5.9,6.45
Turlock Irrigation District Pension Plan,7187,2023,,,,-13.52,9.31,4.26,10.94
University of California Retirement Plan,7211,2023,9.5,8.4,6.6,10.1,8.6,6.7,9.5
Ventura County Employees' Retirement Association,7278,2023,,,,8.5,10.1,7.9,8.49
West Contra Costa Healthcare District Successor Retirement Plan,8275,2023,3.9,1.5,1.7,,,,3.9
AC Transit Employees' Retirement Plan,7159,2022,9.54,17.2,14.8,,,,9.2
Alameda County Employees' Retirement Association,7258,2022,,,,16.2,15.8,12.2,16.12
Antelope Valley Hospital Medical Center Retirement Plan,7148,2022,-12.01,5.06,5.92,,,,-12.01
California State Teachers' Retirement System,7209,2022,-2.4,9.3,8.7,-1.3,9.3,8.7,-2.4
City of Alameda Police and Fire Pension 1079 and 1082,7218,2022,1,1,,,,,1
City of Albany Police and Fire Relief Pension Fund,7219,2022,-8.08,,,,,,-8.08
City of Berkeley Safety Members' Pension Fund,7220,2022,0,,,,,,
City of Concord Retirement System,7230,2022,-11.56,,,,,,-11.56
City of Delano Employee Pension Plan,7235,2022,,,,-14.22,4.19,5.22,-14.22
City of El Cerrito Employees' Pension Trust Fund,7225,2022,1,,,,,,1
City of Emeryville Pension Plan,7221,2022,0.35,0.94,1.29,,,,0.35
City of Eureka Fire and Police Retirement System,7233,2022,0.35,0.94,1.3,,,,0.52
City of Fresno Employees' Retirement System,7232,2022,,,,-7.12,7.28,7.25,-7.28
City of Fresno Fire and Police Retirement System,7231,2022,,,,-7.12,7.28,7.25,-7.28
City of Irvine Safety Defined Benefit Pension Plan,7243,2022,4.89,9.61,7.15,,,,4.7
City of Los Angeles Fire and Police Pension System,7236,2022,-7.23,8.21,8.14,,,,-7.23
City of Los Angeles Water and Power Employees' Retirement Plan,7238,2022,-5.39,,,-5.44,7.37,7.48,-5.39
City of Manhattan Beach Single Highest Year Retirement Plan,7240,2022,3.54,3.54,3.54,3.54,3.54,3.54,3.54
City of Manhattan Beach Supplemental Retirement Plan,7241,2022,3.54,3.54,3.54,3.54,3.54,,3.54
City of Oakland Fire and Police Retirement System,7222,2022,,,,-10.4,4.4,5.9,-10.24
City of Pasadena Fire and Police Retirement System,7239,2022,-8.6,3.8,4.5,,,,-8.6
City of Piedmont Police and Fire Pension Plan,7224,2022,-14.92,5.88,4.23,,,,-14.92
City of Richmond Garfield Pension Plan,7229,2022,-0.77,,,,,,-0.77
City of Richmond General Pension Plan,7227,2022,0.36,,,,,,0.36
City of Richmond Police and Firemen's Pension Plan,7228,2022,-15.4,,,,,,-15.4
City of Sacramento City Employees' Retirement System,7245,2022,,,,-10.7,6.1,6.7,-10.57
City of San Clemente Restated Employees' Retirement Plan,7244,2022,-13.9,8.9,9.7,,,,-9.68
City of San Jose Federated City Employees' Retirement System,7249,2022,,,,-4.4,8.6,7.2,-4.19
City of San Jose Police and Fire Retirement Plan,7250,2022,,,,-5,7.3,6.6,-4.81
City of Santa Barbara Police and Fire Pension Fund,7248,2022,0.01,0.01,0.01,,,,0.01
Contra Costa County Employees' Retirement Association,7259,2022,,,,13.9,12.6,9.6,13.9
Contra Costa Water District Retirement Plan,7172,2022,-13.96,,,,,,-13.96
Desert Hospital Retirement Protection Plan,7398,2022,-10.42,,,0.08,0.97,1.19,-10.42
East Bay Municipal Utility District Employees' Retirement System,7168,2022,-10.9,5.1,6,,,,-10.81
Fresno County Employees' Retirement Association,7260,2022,,,,-9.1,4.9,5.5,-8.84
Golden Gate Transit District Amalgamated Retirement Plan,7144,2022,14,11.9,8.2,,,,14
Greater Palm Springs Convention and Visitor's Bureau Defined Benefit Pension Plan,13131,2022,-11.69,3.44,4.65,,,,-12.59
Imperial County Employees' Retirement System,7261,2022,,,,-6.6,6.6,6.8,-8.1
Judges' Retirement System I,7205,2022,0.01,0.01,0.01,0.01,0.01,0.01,0.3
Judges' Retirement System II,7206,2022,,,,-13.3,4.1,5.3,-13.4
Kaweah Delta Hospital District Employees' Retirement Plan,7149,2022,-15.46,,,,,,-15.46
Kern County Employees' Retirement Association,7262,2022,-4.5,6.8,6.5,,,,-4.2
Legislators' Retirement System,7207,2022,-10.3,,,-10.7,2.5,3.9,-10.3
Long Beach Public Transportation Company Retirement Plan - Contract Employees,7198,2022,,,,-11.5,10.49,19.19,-11.1
Long Beach Public Transportation Company Retirement Plan -  Salaried Employees,7199,2022,,,,-8.1,12.68,21.46,-10.5
Los Angeles City Employees' Retirement System,7237,2022,,,,-6.86,6.83,7.17,-8
