Entity Name,Entity ID,Fiscal Year,Actuarially Determined Contributions_Employer Contributions,Contributions in Relation to the Actuarially Determined Contributions_Employer Contributions,Contribution Deficiency (Excess)_Employer Contributions,Covered-Employee Payroll_Employer Contributions,Contributions as a Percentage of Covered-Employee Payroll_Employer Contributions
Stanislaus County Employees' Retirement Association,7276,2023,105090,105090,0,335849727,0.03
Sunline Transit Retirement Income Plan - Bargaining Unit Personnel,7182,2023,553349,1104398,-551049,10148861,10.88
Sunline Transit Retirement Income Plan - Non-Bargaining Unit Personnel,7400,2023,841503,1438780,-597277,5613094,25.63
Tulare County Employees' Retirement Association,7277,2023,45174000,45174000,0,306492000,14.74
Turlock Irrigation District Pension Plan,7187,2023,12036436,11756373,280063,47178115,24.92
University of California Retirement Plan,7211,2023,3814606000,2770474000,1044132000,15191170000,18.24
Ventura County Employees' Retirement Association,7278,2023,178535140,178535140,0,905128000,19.72
West Contra Costa Healthcare District Successor Retirement Plan,8275,2023,823915,2000000,-1176085,0,0
AC Transit Employees' Retirement Plan,7159,2022,59830000,59830000,0,177734000,33.66
Alameda County Employees' Retirement Association,7258,2022,303965000,1116576000,-812611000,1153918000,96.76
Antelope Valley Hospital Medical Center Retirement Plan,7148,2022,20582910,24390164,-3807254,160280319,15.22
California State Teachers' Retirement System,7209,2022,11058629182,10793182120,265447062,40102575740,26.91
City of Alameda Police and Fire Pension 1079 and 1082,7218,2022,,,,0,0
City of Albany Police and Fire Relief Pension Fund,7219,2022,1038051,500000,538051,0,0
City of Berkeley Safety Members' Pension Fund,7220,2022,0,0,0,0,0
City of Concord Retirement System,7230,2022,2375000,5087000,-2712000,0,0
City of Delano Employee Pension Plan,7235,2022,1551628,1660860,-109232,8660810,19.18
City of El Cerrito Employees' Pension Trust Fund,7225,2022,91747,91747,0,91747,100
City of Emeryville Pension Plan,7221,2022,100090,,100090,0,0
City of Eureka Fire and Police Retirement System,7233,2022,0,0,0,0,0
City of Fresno Employees' Retirement System,7232,2022,22016525,22016525,0,164642390,13.37
City of Fresno Fire and Police Retirement System,7231,2022,27555587,27555587,0,122633655,22.47
City of Irvine Safety Defined Benefit Pension Plan,7243,2022,522539,594717,-72178,265260,224.2
City of Los Angeles Fire and Police Pension System,7236,2022,535450402,535450402,0,1598684776,33.49
City of Los Angeles Water and Power Employees' Retirement Plan,7238,2022,302800123,318873759,-16073636,1178016102,27.07
City of Manhattan Beach Single Highest Year Retirement Plan,7240,2022,20304,20304,0,0,0
City of Manhattan Beach Supplemental Retirement Plan,7241,2022,12889,12889,0,0,0
City of Oakland Fire and Police Retirement System,7222,2022,43820000,43820000,0,0,0
City of Pasadena Fire and Police Retirement System,7239,2022,,,,0,0
City of Piedmont Police and Fire Pension Plan,7224,2022,0,0,0,0,0
City of Richmond Garfield Pension Plan,7229,2022,12408,12408,0,0,0
City of Richmond General Pension Plan,7227,2022,345348,345348,0,0,0
City of Richmond Police and Firemen's Pension Plan,7228,2022,0,0,0,0,0
City of Sacramento City Employees' Retirement System,7245,2022,3479000,3479000,0,189000,1840.74
City of San Clemente Restated Employees' Retirement Plan,7244,2022,1858000,1918000,-60000,476851,402.22
